agent_job_audit_id,agent_server_scheduler_id,job_start_dt,job_completed_dt,job_next_run_dt,-,status,pid,rows|sec
"251866542","987","2014-11-20 13:02:01",\N,"2014-11-20 13:02:00",\N,"STARTING","40417",\N
"251866697","987","2014-11-20 13:02:01","2014-11-20 13:02:01","2014-11-20 13:07:00",\N,"COMPLETED","40417","0"
"251871670","987","2014-11-20 13:07:01",\N,"2014-11-20 13:07:00",\N,"STARTING","49089",\N
"251871773","987","2014-11-20 13:07:01","2014-11-20 13:07:01","2014-11-20 13:12:00",\N,"COMPLETED","49089","0"
"251876864","987","2014-11-20 13:12:01",\N,"2014-11-20 13:12:00",\N,"STARTING","10676",\N
"251877075","987","2014-11-20 13:12:01","2014-11-20 13:12:01","2014-11-20 13:17:00",\N,"COMPLETED","10676","0"
"251881874","987","2014-11-20 13:17:01",\N,"2014-11-20 13:17:00",\N,"STARTING","19812",\N
"251882125","987","2014-11-20 13:17:01","2014-11-20 13:17:02","2014-11-20 13:22:00",\N,"COMPLETED","19812","1"
"251887150","987","2014-11-20 13:22:01",\N,"2014-11-20 13:22:00",\N,"STARTING","30117",\N
"251887266","987","2014-11-20 13:22:01","2014-11-20 13:22:02","2014-11-20 13:27:00",\N,"COMPLETED","30117","1"
"251892268","987","2014-11-20 13:27:01",\N,"2014-11-20 13:27:00",\N,"STARTING","38790",\N
"251892406","987","2014-11-20 13:27:01","2014-11-20 13:27:02","2014-11-20 13:32:00",\N,"COMPLETED","38790","1"
"251896805","987","2014-11-20 13:32:01",\N,"2014-11-20 13:32:00",\N,"STARTING","49080",\N
"251896886","987","2014-11-20 13:32:01","2014-11-20 13:32:01","2014-11-20 13:37:00",\N,"COMPLETED","49080","0"
"251901885","987","2014-11-20 13:37:01",\N,"2014-11-20 13:37:00",\N,"STARTING","9028",\N
"251902004","987","2014-11-20 13:37:01","2014-11-20 13:37:01","2014-11-20 13:42:00",\N,"COMPLETED","9028","0"
"251907100","987","2014-11-20 13:42:01",\N,"2014-11-20 13:42:00",\N,"STARTING","19379",\N
"251907200","987","2014-11-20 13:42:01","2014-11-20 13:42:01","2014-11-20 13:47:00",\N,"COMPLETED","19379","0"
"251912322","987","2014-11-20 13:47:01",\N,"2014-11-20 13:47:00",\N,"STARTING","28487",\N
"251912471","987","2014-11-20 13:47:01","2014-11-20 13:47:01","2014-11-20 13:52:00",\N,"COMPLETED","28487","0"
"251917797","987","2014-11-20 13:52:01",\N,"2014-11-20 13:52:00",\N,"STARTING","38796",\N
"251917977","987","2014-11-20 13:52:01","2014-11-20 13:52:01","2014-11-20 13:57:00",\N,"COMPLETED","38796","0"
"251923121","987","2014-11-20 13:57:01",\N,"2014-11-20 13:57:00",\N,"STARTING","47466",\N
"251923259","987","2014-11-20 13:57:01","2014-11-20 13:57:01","2014-11-20 14:02:00",\N,"COMPLETED","47466","0"
"251928614","987","2014-11-20 14:02:02",\N,"2014-11-20 14:02:00",\N,"STARTING","9085",\N
"251928750","987","2014-11-20 14:02:02","2014-11-20 14:02:02","2014-11-20 14:07:00",\N,"COMPLETED","9085","0"
"251933667","987","2014-11-20 14:07:02",\N,"2014-11-20 14:07:00",\N,"STARTING","17785",\N
"251933770","987","2014-11-20 14:07:02","2014-11-20 14:07:02","2014-11-20 14:12:00",\N,"COMPLETED","17785","0"
"251938289","987","2014-11-20 14:12:01",\N,"2014-11-20 14:12:00",\N,"STARTING","28080",\N
"251938424","987","2014-11-20 14:12:01","2014-11-20 14:12:01","2014-11-20 14:17:00",\N,"COMPLETED","28080","0"
"251943355","987","2014-11-20 14:17:01",\N,"2014-11-20 14:17:00",\N,"STARTING","37182",\N
"251943663","987","2014-11-20 14:17:01","2014-11-20 14:17:01","2014-11-20 14:22:00",\N,"COMPLETED","37182","0"
"251948520","987","2014-11-20 14:22:01",\N,"2014-11-20 14:22:00",\N,"STARTING","47486",\N
"251948706","987","2014-11-20 14:22:01","2014-11-20 14:22:01","2014-11-20 14:27:00",\N,"COMPLETED","47486","0"
"251953559","987","2014-11-20 14:27:01",\N,"2014-11-20 14:27:00",\N,"STARTING","7392",\N
"251953663","987","2014-11-20 14:27:01","2014-11-20 14:27:01","2014-11-20 14:32:00",\N,"COMPLETED","7392","0"
"251959158","987","2014-11-20 14:32:01",\N,"2014-11-20 14:32:00",\N,"STARTING","17750",\N
"251959251","987","2014-11-20 14:32:01","2014-11-20 14:32:02","2014-11-20 14:37:00",\N,"COMPLETED","17750","1"
"251964186","987","2014-11-20 14:37:01",\N,"2014-11-20 14:37:00",\N,"STARTING","26419",\N
"251964361","987","2014-11-20 14:37:01","2014-11-20 14:37:02","2014-11-20 14:42:00",\N,"COMPLETED","26419","1"
"251968896","987","2014-11-20 14:42:01",\N,"2014-11-20 14:42:00",\N,"STARTING","36232",\N
"251968969","987","2014-11-20 14:42:01","2014-11-20 14:42:01","2014-11-20 14:47:00",\N,"COMPLETED","36232","0"
"251973963","987","2014-11-20 14:47:01",\N,"2014-11-20 14:47:00",\N,"STARTING","42918",\N
"251974033","987","2014-11-20 14:47:01","2014-11-20 14:47:01","2014-11-20 14:52:00",\N,"COMPLETED","42918","0"
"251979275","987","2014-11-20 14:52:01",\N,"2014-11-20 14:52:00",\N,"STARTING","2525",\N
"251979433","987","2014-11-20 14:52:01","2014-11-20 14:52:01","2014-11-20 14:57:00",\N,"COMPLETED","2525","0"
"251984582","987","2014-11-20 14:57:01",\N,"2014-11-20 14:57:00",\N,"STARTING","8831",\N
"251984718","987","2014-11-20 14:57:01","2014-11-20 14:57:01","2014-11-20 15:02:00",\N,"COMPLETED","8831","0"
"251990011","987","2014-11-20 15:02:01",\N,"2014-11-20 15:02:00",\N,"STARTING","17112",\N
"251998615","987","2014-11-20 15:02:01","2014-11-20 15:10:37","2014-11-20 15:10:00",\N,"COMPLETED","17112","516"
"252008137","987","2014-11-20 15:10:00",\N,\N,"3","OVERRUNNING","30528",\N
"251998613","987","2014-11-20 15:10:36",\N,\N,\N,"PROCESSED_EMAIL","17112","25000"
"251999212","987","2014-11-20 15:11:01",\N,"2014-11-20 15:10:00",\N,"STARTING","30528",\N
"252011648","987","2014-11-20 15:11:01","2014-11-20 15:23:19","2014-11-20 15:23:00",\N,"COMPLETED","30528","738"
"252020705","987","2014-11-20 15:23:00",\N,\N,"2","OVERRUNNING","5015",\N
"252011645","987","2014-11-20 15:23:18",\N,\N,\N,"PROCESSED_EMAIL","30528","25000"
